,app_number,patent_number,blocked_app,date,blocking_type
3592,"11/969,748",7920494,12337196,2011-06-27,103a
3593,"12/430,883",8437798,13576430,2014-03-14,103a
3594,"08/561,296",5956088,11659022,2011-02-18,103a
3595,"08/561,296",5956088,11659022,2011-02-18,103a
3596,"08/561,296",5956088,11659022,2011-06-23,103a
3597,"08/561,296",5956088,11296923,2011-12-21,103a
3598,"08/561,296",5956088,11296923,2011-12-21,103a
3599,"08/561,296",5956088,11296923,2011-12-21,103a
3600,"08/561,296",5956088,11296923,2011-12-21,103a
3601,"08/561,296",5956088,11296923,2011-12-21,103a
3602,"08/561,296",5956088,11296923,2011-12-21,103a
3603,"08/561,296",5956088,11296923,2011-12-21,103a
3604,"08/561,296",5956088,11296923,2011-12-21,103a
3605,"08/561,296",5956088,11296923,2011-12-21,103a
3606,"08/561,296",5956088,11296923,2011-12-21,103a
3607,"08/561,296",5956088,11296923,2011-12-21,103a
3608,"08/561,296",5956088,11253685,2011-12-22,103a
3609,"08/561,296",5956088,12161570,2012-01-09,103a
3610,"11/117,047",7801527,12597042,2011-12-05,102
3611,"10/640,110",7050514,12922797,2012-10-18,103a
3612,"10/640,110",7050514,12922797,2012-10-18,103a
3613,"09/653,109",6701162,12055898,2011-05-20,103a
3614,"09/653,109",6701162,10500016,2011-03-17,103a
3615,"09/653,109",6701162,12047344,2011-02-14,103a
3616,"09/653,109",6701162,12047344,2011-06-28,103a
3617,"09/653,109",6701162,12047344,2012-01-06,103a
3618,"09/653,109",6701162,13560863,2012-10-01,103a
3619,"10/085,989",6912581,11786162,2011-01-06,103a
3620,"10/085,989",6912581,11734422,2011-01-13,103a
3621,"10/085,989",6912581,13249312,2011-12-14,103a
3622,"09/040,047",6166787,12686197,2012-04-30,102
3623,"09/643,535",6570362,12742644,2013-03-15,103a
3624,"09/921,894",6639249,12487704,2011-08-19,103a
3625,"09/921,894",6639249,12487704,2011-08-19,103a
3626,"09/921,894",6639249,12487704,2011-03-18,103a
3627,"09/921,894",6639249,12487704,2011-03-18,103a
3628,"09/921,894",6639249,12741916,2012-05-04,103a
3629,"09/921,894",6639249,12741916,2012-12-12,103a
3630,"09/921,894",6639249,12703335,2012-08-23,102
3631,"09/777,189",6438114,11666578,2011-08-15,103a
3632,"09/777,189",6438114,12685665,2012-02-02,103a
3633,"09/777,189",6438114,11666578,2013-09-06,103a
3634,"09/777,189",6438114,11666578,2013-02-07,103a
3635,"09/777,189",6438114,12424448,2013-07-24,103a
3636,"11/966,463",8007110,12508645,2012-06-06,103a
3637,"11/966,463",8007110,12508645,2013-04-17,103a
3638,"11/966,463",8007110,12508645,2013-04-17,103a
3639,"10/334,472",7489928,12714428,2012-09-11,102b
